,index,name,Coordinates,lat,lon
569,569,Pegasus Merkez Ofis,"40.90874929999999, 29.3158582",40.90874929999999, 29.3158582
570,570,Ù…ÙŠØªØ±Ùˆ Ø§Ù„Ù…Ø·Ø§Ø±,"40.9826706, 28.8184788",40.9826706, 28.8184788
571,571,Ataturk Havaalani Airbus Park Alani,"40.9900939, 28.8161412",40.9900939, 28.8161412
572,572,DHL Express Gateway,"40.991068, 28.8169724",40.991068, 28.8169724
573,573,Budget parkingcar airport,"40.97912279999999, 28.8245412",40.97912279999999, 28.8245412
574,574,THY,"40.9775623, 28.8215683",40.9775623, 28.8215683
575,575,Sydney Airport,"-33.93992280000001, 151.1752764",-33.93992280000001, 151.1752764
576,576,Sydney Airport Executive Homestay,"-33.9485408, 151.1459022",-33.9485408, 151.1459022
577,577,Airport Express Car Parking,"-33.934575, 151.1961192",-33.934575, 151.1961192
578,578,Bankstown Airport,"-33.9245926, 150.9976624",-33.9245926, 150.9976624
579,579,NETS,"-33.9231658, 150.9819435",-33.9231658, 150.9819435
580,580,Sydney Helicopters,"-33.830399, 151.0246",-33.830399, 151.0246
581,581,Sydney By Seaplane,"-33.8707541, 151.2549162",-33.8707541, 151.2549162
582,582,Bondi Helicopters Heli Experiences,"-33.94101, 151.191101",-33.94101, 151.191101
583,583,Seaplanes Sydney,"-33.8781484, 151.2146618",-33.8781484, 151.2146618
584,584,SeaWing Airways,"-33.870802, 151.2548239",-33.870802, 151.2548239
585,585,Hills Airport Private Transfer -Mercedes Van Baby Friendly Transfer Corporate Airport Cruise Wedding,"-33.7299562, 151.0301211",-33.7299562, 151.0301211
586,586,Wedderburn Aerodrome,"-34.177762, 150.8089264",-34.177762, 150.8089264
587,587,Napper Airfield,"-34.1752708, 150.8094405",-34.1752708, 150.8094405
588,588,æ‚‰å°¼æœºåœºå›½é™…å‡ºå�‘,"-33.9353322, 151.1664783",-33.9353322, 151.1664783
589,589,Dock 6 Sydney International Airport,"-33.93817399999999, 151.164236",-33.93817399999999, 151.164236
590,590,34L/16R North End,"-33.930471, 151.1717033",-33.930471, 151.1717033
591,591,Qantas Domestic Terminal,"-33.932107, 151.1789973",-33.932107, 151.1789973
592,592,Qantas Domestic Airside T3,"-33.9318894, 151.178946",-33.9318894, 151.178946
593,593,M Ap,"-33.9233161, 151.1871609",-33.9233161, 151.1871609
594,594,South End 34L/16R,"-33.9647185, 151.1804581",-33.9647185, 151.1804581
595,595,Orlando International Airport,"28.4311577, -81.308083",28.4311577, -81.308083
596,596,Orlando Executive Airport,"28.5489498, -81.3363595",28.5489498, -81.3363595
597,597,Kissimmee Gateway Airport-ISM,"28.2907394, -81.4373588",28.2907394, -81.4373588
598,598,Air Florida Helicopter Inc,"28.4351497, -81.4729969",28.4351497, -81.4729969
599,599,Saint Cloud Hospital Heliport,"28.2438706, -81.30350589999999",28.2438706, -81.30350589999999
600,600,Orlando Apopka Airport,"28.7048626, -81.5822421",28.7048626, -81.5822421
601,601,AirCare3,"28.6988747, -81.3537127",28.6988747, -81.3537127
602,602,SunState Aviation,"28.2885414, -81.4333722",28.2885414, -81.4333722
603,603,Henderson Field,"28.6337056, -81.7081268",28.6337056, -81.7081268
604,604,Walker Ranch-Private Airport,"28.0525187, -81.40062739999999",28.0525187, -81.40062739999999
605,605,Signature Flight Support ISM - Kissimmee Gateway Airport,"28.293649, -81.43669899999999",28.293649, -81.43669899999999
606,606,Million Air Orlando,"28.7769072, -81.2505063",28.7769072, -81.2505063
607,607,Prairie Lake Private Res Sp Mooring Facility Seaplane Base,"28.6566644, -81.3534016",28.6566644, -81.3534016
608,608,Sheltair Aviation Services,"28.54675259999999, -81.34355719999999",28.54675259999999, -81.34355719999999
609,609,Peabody Heliport,"28.43084309999999, -81.4565789",28.43084309999999, -81.4565789
610,610,Signature Flight Support MCO - Orlando Int'l Airport,"28.4218935, -81.3319545",28.4218935, -81.3319545
611,611,Sanford seaplane base,"28.8227777, -81.2633333",28.8227777, -81.2633333
612,612,St Cloud Hospital,"28.2439132, -81.3034442",28.2439132, -81.3034442
613,613,Grand Cypress Resort Helipad (Private),"28.3809413, -81.5087281",28.3809413, -81.5087281
614,614,Cedar Knoll Flying Ranch,"28.7807966, -81.15913859999999",28.7807966, -81.15913859999999
615,615,Gimpo International Airport,"37.55865449999999, 126.7944739",37.55865449999999, 126.7944739
616,616,Korea Airports Corporation,"37.5609611, 126.7997899",37.5609611, 126.7997899
617,617,Incheon International Airport,"37.4601908, 126.4406957",37.4601908, 126.4406957
618,618,Premium Limousine (Seoul Korea),"37.574632, 126.8113985",37.574632, 126.8113985
619,619,í•œêµ­ê³µí•­ê³µì‚¬ í•­ë¡œì‹œì„¤ë³¸ë¶€ ì•ˆì–‘í‘œì§€ì†Œ,"37.4137989, 126.9277601",37.4137989, 126.9277601
620,620,Swissport Korea Ltd,"37.468173, 126.464191",37.468173, 126.464191
621,621,ANC crews school counseling center,"37.557119, 126.923656",37.557119, 126.923656
622,622,kinaem nakorn small airport,"37.497089, 126.5887456",37.497089, 126.5887456
623,623,Gimpo International Airport Domestic,"37.5589807, 126.8031607",37.5589807, 126.8031607
624,624,ì„œìš¸ê¹€í�¬ë¹„ì¦ˆë‹ˆìŠ¤í•­ê³µì„¼í„°,"37.569426, 126.803488",37.569426, 126.803488
625,625,ì�¸ì²œê³µí•­ ì›”ë“œë¡œë°�ë¶€ìŠ¤,"37.4562557, 126.7052062",37.4562557, 126.7052062
626,626,SKYHUBë�¼ìš´ì§€ ì—¬ê°�í„°ë¯¸ë‚ ë�™íŽ¸,"37.4562557, 126.7052062",37.4562557, 126.7052062
627,627,ê°€ì–‘ë¹„í–‰ìž¥(ë“œë¡ ),"37.57853420000001, 126.8576761",37.57853420000001, 126.8576761
628,628,é‡‘æµ¦,"37.5924672, 126.9970308",37.5924672, 126.9970308
629,629,Heliport,"37.430864, 127.047455",37.430864, 127.047455
630,630,(ì£¼)ì†Œëª¨í™€ë”©ìŠ¤ì—”í…Œí�¬ë†€ëŸ¬ì§€,"37.501915, 127.0663431",37.501915, 127.0663431
631,631,í•œí‹°-ë¯¼ì�´ìŠ¤ê³µí•­,"37.2619953, 127.0190903",37.2619953, 127.0190903
632,632,í•˜ëŠ˜ëˆ„ë¦¬í•­ê³µ,"37.1072963, 126.7649297",37.1072963, 126.7649297
633,633,Seoul Airport,"37.44205470000001, 127.1081565",37.44205470000001, 127.1081565
634,634,Helipad,"37.80880059999999, 126.7716589",37.80880059999999, 126.7716589
635,635,Indira Gandhi International Airport,"28.55616239999999, 77.0999578",28.55616239999999, 77.0999578
636,636,TMI Academy Of Travel Tourism & Aviation Studies,"28.565744, 77.231977",28.565744, 77.231977
637,637,Airlogic Aviation Solutions Pvt Ltd,"28.56536599999999, 77.124426",28.56536599999999, 77.124426
638,638,indocopters private limited,"28.497424, 77.476553",28.497424, 77.476553
639,639,IGI Aviation Services Pvt Ltd,"28.651499, 77.12677",28.651499, 77.12677
640,640,cheap courier service in delhi dwarka,"28.6201234, 77.0938583",28.6201234, 77.0938583
641,641,Car Hire Delhi IGI Airport,"28.530317, 77.098317",28.530317, 77.098317
642,642,Airports Authority of India,"28.5576107, 77.09398",28.5576107, 77.09398
643,643,Cambata Aviation Pvt. Ltd.,"28.5250135, 77.15708800000002",28.5250135, 77.15708800000002
644,644,Travel house solution,"28.629099, 77.081771",28.629099, 77.081771
645,645,Dream Tour And Travels,"28.639289, 77.07562",28.639289, 77.07562
646,646,JM PUBLICITY INDIA PVT.LTD.,"28.5822669, 77.2515969",28.5822669, 77.2515969
647,647,Charter Plus,"28.690754, 77.15181",28.690754, 77.15181
648,648,Rohini Heliport,"28.7512635, 77.0575652",28.7512635, 77.0575652
649,649,Ask International Tours,"28.570285, 77.326666",28.570285, 77.326666
650,650,DOMESTIC & INTERNATIONAL COURIERS SERVICE,"28.629344, 77.37570699999999",28.629344, 77.37570699999999
651,651,IGD METRO STATION,"28.5659855, 77.12269040000001",28.5659855, 77.12269040000001
652,652,Air Force Station,"28.5780997, 77.1180377",28.5780997, 77.1180377
653,653,Indhra Gandhi Airport,"28.5841284, 77.1370858",28.5841284, 77.1370858
654,654,"ATFM CENTER, Airports Authority Of India","28.5307587, 77.1403366",28.5307587, 77.1403366
655,655,Barcelonaâ€“El Prat Airport,"41.297445, 2.083294099999999",41.297445, 2.083294099999999
656,656,Sabadell Airport,"41.5211747, 2.1016388",41.5211747, 2.1016388
657,657,Extracrew SL,"41.388605, 2.1776858",41.388605, 2.1776858
658,658,Barcelona Helicopters,"41.52526599999999, 1.9709556",41.52526599999999, 1.9709556
659,659,Club Aeromodelisme Sant Cugat,"41.5015228, 2.0622433",41.5015228, 2.0622433
660,660,"Helipistas, S.L.","41.5253104, 1.9710261",41.5253104, 1.9710261
661,661,GIS Trade Center,"41.371343, 2.181865",41.371343, 2.181865
662,662,ICARUS Manteniment,"41.5252013, 1.9710690999999998",41.5252013, 1.9710690999999998
663,663,Aeropuerto Barcelona Terminal 2,"41.3025483, 2.0756983",41.3025483, 2.0756983
664,664,Euraservices BCN,"41.3084114, 2.0875264",41.3084114, 2.0875264
665,665,APS - Airport Passenger Services,"41.2934264, 2.0157981",41.2934264, 2.0157981
666,666,Aeroport Ramon Castellano,"41.3036865, 1.9992078",41.3036865, 1.9992078
